Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"INSERA, MAXINE      74 WELLINGTON AVE. BUFFALO, NY 14216",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"INSERA, MAXINE      74 WILLINGTON ROAD BUFFALO, NY 14216",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"IRWIN, ROVERT      11 SUMMER STREET BUFFALO, NY 14209",100.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"JACKSON, BRUCE      96 RUMSEY ROAD BUFALO, NY 14209",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"JIABINEN, JUNE      359 PARKSIDE AVENUE BUFFALO, NY 14214",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"JOHNSON, ERIN      68 APELLAMWOOD CT GRAND ISLAND, NY 14072",100.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,A,City Council,N/A
"JOHNSTONE, BRUCE      284 RIVERMIST DRIVE BUFFALO, NY 14202",100.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"JOSEPH, TODD      58 SILVER THORNE DRIVE WILLISMAVILLE, NY 14221",100.00,22-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"KARTHA, KRISHAN      832 W. DELEVAN AVE BUFFALO, NY 14209",100.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"KELM, WAYNE      39 KROFTON ROAD WEST SENECA, NY 14224",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"KERNAN, DAVID      104 LIVINGSTON PARKWAY BUFFALO, NY 14226",200.00,27-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"KNOER, ROBERT      62 SOUTHWIND WILLIAMSVILLE, NY 14221",250.00,27-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"KNOER, ROBERT      62 SOUTHWIND AMHERST, NY 14221",250.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"KNOER, ROBERT      62 SOUTHWIND AMHERST, NY 14221",250.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"KNOERR, ROBERT      62 SOUTHWIND TRL WILLIAMSVILLE, NY 14221",350.00,22-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"KOESSLER, PAUL LOESS      62 MIDDLESEX ROAD BUFFALO, NY 14216",100.00,17-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"KRESE, ROBERT      800 W. FERRY BUFFALO, NY 14222",150.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"KRESSE, ROBERT      800 W. FERRY APT 4-A BUFFALO, NY 1422",250.00,13-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"KRESSE, ROBERT      800 WEST FERRY BUFFALO, NY 14222",100.00,01-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"KRESSE, ROBERT      800 WEST FERRY BUFFALO, NY 14222",150.00,18-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"KRISTEN PFAFF, PHILLIP      7 MAYFAIR LANE BUFFALO, NY 14201",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"KUBINIEC, JUDITH       ,",150.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"KULLERKUPP, HANS      465 PARK PLACE GRAND ISLAND, MY 14072",100.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"LAPING, TOBY       1207 DELAWARE AVE BUFFALO, BY 14209",150.00,27-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"LATVIS, MICHAEL      231 NORWOOD AVE BUFFALO, NY 14222",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"LIBERTI, JOHN     L PO BOX 625 BUFFALO, NY 14207",100.00,31-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LICATA, JOHN      519 ASHLAND AVENUE BUFFALO, NY 14222",100.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LICATA, JOHN      519 ASHLAND AVE. BUFFALO, NY 14222",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LICATA, WILLIAM      572 RICHMOND AVENUE BUFFALO, NY 14222",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LICATA, WILLIAM      110 AUTUMN CREEK LANE APT. F E. AMHERST, NY 14051",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LICATA, WILLIAM      572 RICHMOND AVE BUFFALO, NY 14222",100.00,15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"LICATA, WILLIAM      572 RICHMOND BUFFALO, NY 14222",100.00,27-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"LICATA, WILLIAM      75 GROSVENOR ROAD BUFFALO, NY 14223",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"LICATA, WILLIAM      572 RICHMOND AVENUE BUFFALO, NY 14222",100.00,18-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"LICATA, WILLIAM      572 RICHMOND BUFFALO, NY 14222",100.00,09-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"LILTEKOFF, JAMES      103 NOTTINGHAM BUFFALO, NY 14216",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"LIPSITZ, RICHARD       ,",250.00,11-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"LIPSITZ, RICHARD      ADMIRALS WALK BUFFALO, NY 14202",200.00,31-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LOCURTO, ANTHONY      276 NORTH PARK AVE. BUFFALO, NY 14216",100.00,01-JUN-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LOCURTO, ANTHONY      276 NORTH PARK BUFFALO, NY 14216",150.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"LOCURTO, ANTHONY      276 NORTH PARK BUFFALO, NY 14216",500.00,22-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LOCURTO, ANTHONY      276 NORTH PARK AVENUE BUFFALO, NY 14216",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LOCURTO, DENNIS      135 WELLINGTON BUFFALO, NY 14216",500.00,27-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"LOCURTO, DENNIS      135 WELLLINGTON ROAD BUFFALO, NY 14216",300.00,20-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LOCURTO, DENNIS JOA      135 HUNTINGTON BUFFALO, NY 14216",150.00,26-JUL-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,A,City Council,N/A
"LOCURTO, DENNIS JOO      135 WELLINGTON ROAD BUFFALO, NY 13216",100.00,12-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON BUFFALO, NY 14216",200.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON BUFFALO, NY 14216",200.00,22-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON BUFFALO, NY 14216",200.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON RAOD BFLO, NY 14216",200.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON ROAD BUFFALO, NY 14216",100.00,01-AUG-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON ROAD BUFFALO, NY 14216",250.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTONE AVE. BUFFALO, NY 14216",100.00,01-JUN-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON AVE. BUFFALO, NY 14216",500.00,27-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON BUFFALO, NY 14216",200.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON BUFFALO, NY 14216",100.00,29-MAY-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON AVE BUFFALO, NY 14216",500.00,17-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTONB ROAD BUFFALO, NY 14216",500.00,13-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON BUFFALO, NY 14216",200.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"LOCURTO, JOAN      135 WELLINGTON BUFFALO, NY 14216",500.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"LOEW DAY, JANET      143 HENDRICKS DLVD AMHERST, NY 14226",100.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"LOGAN, JAMES      625 ENSMINGER RD. TONAWANDA, NY 14150",150.00,14-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"LOGAN, JAMES      625 ENSMINGER ROAD TONAWANDA, NY 14150",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"LOWNIE, THEODORE      67 LEXINGTON BUFFALO, NY 14222",100.00,11-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"LOWNIE, THEODORE      67 LEXINGTON BUFFALO, NY 14222",198.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"MAGAVERN, JAMES      14 LAFAYETTE BUFFALO, NY 14203",125.00,27-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"MAGAVERN, SAMUEL      185 CHAPIN PKWY BUFFALO, NY 14209",200.00,21-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"MAKOWSKI, JOSEPH      420 FRANKLIN BUFFALO, NY 14202",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"MANSOURI, HORMOZ      43 ROLLING MEADOW EAST AMHERST, NY 14051",109.00,15-JAN-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,A,City Council,N/A
"MASCIA, JOE      47 MANNE DRIVE BUFFALO, NY 14202",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"MASCIA, JOE      47 MARINE DRIVE BUFFALO, NY 14202",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"MASECCHIA, NAZZARENO      407 COLVIN AVE BUFFALO, NY 14216",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"MASSECCHIA, NAZZARENO      407 COLVIN AVENUE BUFFALO, NY 14216",100.00,28-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"METZGER, JAMES      70 HAVERFORD LAND BUFFALO, NY 14221",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"MICHAELS, ALBERT      925 DELAWARE AVENUE  BUFFALO, NY 14209",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"MORRIS, DONALD      174 ST. LAWRENCE BUFFALO, NY 14216",100.00,28-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"MORRIS, DONALD      174 ST LAWRENCE BUFFALO, NY 14216",100.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"MUCCI, GARY      27 TUDOR BUFFALO, NY 14222",150.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"NIGHTINGALE, CARL      378 CRESCENT AVE BUFFALO, NY 14214",250.00,15-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"NIKISCHER, ANDREA      929 STARIN AVENUE BUFFALO, NY 14223",149.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"NOBEL, MARGERY      NA NA, NY",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"NOLA, RAYMOND      307 NORTH RD BUFFALO, NY 14216",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"OCCHINO, CATHERINE      123 MARINER ST. BUFFALO, NY 14201",500.00,16-MAY-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"OLIVENCIA, WILMER      712 PROSPECT BUFFALO, NY 14213",100.00,02-JUN-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"OSEROFF, ALLAN      268 MIDDLESEX ROAD BUFFALO, NY 14216",200.00,21-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"PANEPINTO, MARC      153 BIDWELL BUFFALO, NY 14222",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"PANEPINTO, MARC      153 BUDWELL PKWY BUFFALO, `N 14222",250.00,15-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,A,City Council,N/A
"PANEPINTO, MARC      153 BIDWELL BUFFALO, NY 14222",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"PANEPINTO, MARC      153 BIDWELL AVENUE BUFFALO, NY 14222",250.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"PATRIND, CHRIS      834 AUBURN AVE. BUFFALO, NY 14222",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"PAUL, JULIA      139 VILLA BUFFALO, NY 14216",200.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"PAUL, RONDOLPH      139 VILLA AVE BUFFALO, NY 14216",150.00,15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"PAZDERSKI, JEROME      139 CARLA LANE WEST SENECA, NY 14224",199.00,18-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"PAZDERSKI, MARY      139 CARLA LANE WEST SENECA, NY 14224",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"PIERCE, PHYLLIS      530 ASHLAND BUFFALO, NY 14222",100.00,27-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"PIERCE, PHYLLIS      530 ASHLAND AVE BUFFALO, NY 14222",300.00,17-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"PIERRO, MICHAEL       12 SNOWBERRY LANE EASH AMHERST, NY 14051",149.00,27-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"PINIEWSKI, GEORGE      182 CHARLESCREST COURT WEST SENECA, NY 14224",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"PRENTISS, ANTHONY      15 FRANTENAC AVE. BUFFALO, NY 14216",149.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"PRIEBE, EDGAR      114 TILLINGHAST PLACE BUFFALO, NY 14216",250.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"RADFORD, GAIL      185 ADMIRAL BUFFALO, NY 14216",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RADFORD, GAIL      185 ADMIRAL ROAD BUFFALO, NY 14216",100.00,16-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"RADFORD, GAIL      185 ADMIRAL BUFFALO, NY 14216",250.00,24-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RADFORD, GAIL      185 ADMIRAL ROAD BUFFALO, NY 14216",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"RADFORD, GAIL      185 ADMIRIL BUFFALO, NY 14216",500.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"RADFORD, GAIL      185 ADMIRAL ROAD BUFFALO, NY 14216",100.00,17-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"RADFORD, GAIL      185 ADMIRAL BUFFALO, NY 14216",200.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"RALABATE, JOSEPH      88 MORRIS BUFFALO, NY 14214",100.00,01-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RALABATE, JOSEPH      88 MORRIS BUFFALO, NY 14214",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"RANDAZZA, JOSEPH      16 WELLINGTON RD. BUFFALO, NY 14216",500.00,20-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"RANDAZZO, JOSEPH     J 16 WELLINGTON STREET BUFFALO, NY 14216",100.00,11-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,A,City Council,N/A
"REESE, PETER      49 STARIN BUFFALO, NY 14214",500.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RICE, VOCTOR      33 TUDOR PLACE BUFFALO, NY 14222",500.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"RIVERA, DAVID      250 BRECKENRIDGE BUFFALO, NY 14213",100.00,06-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RIZZO, PETER      143 MAGLE DRIVE BUFFALO, NY 14225",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"RIZZO, PETER      143 NAGLE DRIVE BUFFALO, NY 14225",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"ROSE, JOEL       310 WOODWARD AVE BUFFALO, NY 8377",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"ROSE, PAMELA      310 WOODWARD AVENUE BUFFALO, NY 14214",100.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"RUBIN, IRVING      19 MIDDLEBURY BUFFALO, NY 14216",250.00,22-APR-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RUBIN, IRVING      19 MIDDLEBURY LAND BUFFALO, NY 14216",175.00,16-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"RUBIN, IRVING      19 MIDDLEBURY BUFFALO, NY 14216",100.00,19-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RUPP, WILLIAM      21 NEW AMSTERDAM BUFFALO, NY 14216",200.00,10-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"RUPP, WILLIAM      21 NEW AMSTERDAM BUFFALO, NY 14216",100.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
"RUSS, MARGARET      11 DEPEW BUFFALO, NY 14214",100.00,23-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"RYAN, SEAN      47 WINDSOR BUFFALO, NY 14209",100.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,A,City Council,N/A
"RYAN, SEAN      47 WINDSOR AVE BUFFALO, NY 14209",250.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"RYAN, SEAN      47 WINDSOR AVENUE BUFFALO, NY 14209",100.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"RYBCZINSKI, ANDREA      4549 VAN PEYMA ROAD BUFFALO, NY 14075",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"RYBCZINSKI, BRAD      4549 VAN PEYMA HAMBURG, NY 14075",100.00,26-JUL-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,A,City Council,N/A
"SACK, SUSANNE      105 LANCASTER AVE BUFFALO, NY 14222",100.00,24-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"SANCHEZ, MELISSA       ,",100.00,09-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"SANSANESE, VICTOR      98 LOVERING AVE. BUFFALO, NY 257",200.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"SANSANESE, VICTOR      98 LOVERING BUFFALO, NY 14216",100.00,15-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,A,City Council,N/A
"SANSANESE, VOCTOR      98 LOVERING BUFFALO, NY 14216",100.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"SAVARINO, SAMUEL      112 SUDUBON DRIVE SNYDER, NY 14226",200.00,21-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"SCHENK, SUSANNA      21 COLONIAL CIRCLE BUFFLAO, NY 14222",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"SCHENK, SUSANNA      821 AUBURN AVE. BUFFALO, NY 14222",200.00,20-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"SCHULMAN, ROBERT      132 ST. JAMES PLACE BUFFALO, NY 14222",100.00,19-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"SCHULMAN, ROBRT      132 ST JAMES PLACE BUFFALO, NY 5771",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"SCHWEITZER, CATHERINE      245 MIDDLESEX ROAD BUFFALO, BY 14216",150.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"SHAVER, ROBERT      485 NORWOOD AVENUE BUFFALO, NY 14222",300.00,17-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"SINATRA, JOHN      938 KENMORE AVE BUFFALO, NY 14216",200.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"SMITH, RICHARD      658 OHIO ST BUFFALO, NY 14203",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"SOLE, JOSEPH       ,",200.00,07-JUL-11,FRIENDS OF MIKE LOCURTO,2011 32 Pre General,A,City Council,N/A
"STANTON, ELIZABETH      20 ARGYLE PARK BUFFALO, NY 14222",100.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"STANTON, ELIZABETH      20 ARGYLE BUFFALO, NY 14222",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"SWARTZ, STEVEN       ,",100.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"SWIFT, DOUGLAS      726 EXCHANGE STREET BUFFALO, NY 14210",500.00,27-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"TOMASELLO, JOE      771 PROSPECT AVENUE BUFFALO, NY",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"TOMASELLO, JOHN      714 WEST AVENUE BUFFALO, NY",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"TOMASULLO, JOE      771 PROSPECT AVE BUFFALO, NY 14213",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"TOMASULLO, JOHN      814 WEST AVE BUFFALO, NY 14212",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"TOTH, JEREMY      72 ASHLAND BUFFALO, NY 14222",100.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"TRINCANTI, STEPHEN      39 BIDWELL PARKWAY BUFFALO, NY 14222",100.00,30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
"UDIN, SUSAN       ,",175.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"VALLONE, JAMES      3339 GENESEE STREET CHEEKTOWAGA, NY 14225",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"VERNI, DOMINIC      28 TILLINGHAST PLACE BUFFALO, NY 14216",200.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,A,City Council,N/A
"VERNI, DOMINIC      28 TILLINGHAST PLACE BUFFALO, NY 14216",200.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
