Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"CREIGHTON PEARCE JOHNSON GIROUX 560 ELLICOTT SQ BLDG BUFFALO, NY 14203",150.00,22-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,A,City Council,N/A
"CREIGHTON PEARCE JOHNSON GIROUX 560 ELLICOTT SQUARE BUFFALO, NY 14203",200.00,01-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"CWA DISTRICT ONE PAC 80 PINE STREET NY, NY 10005",500.00,15-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"DISTRICT COUNCIL NO. 4 585 AERO ROAD CHEEKTOWAGA, NY 14225",100.00,22-MAY-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"DORAN AND MURPHY LLP 1234 DELEAWARE AVENUE BUFFALO, NY 14209",200.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"ELEVATOR CONSTRUCTORS LOCAL 14 3527 HARLEM ROAD SUITE 9 BUFFALO, NY 14225",100.00,14-JUL-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,C,City Council,N/A
"ELEVATOR CONSTRUCTORS LOCAL 14 PAC 3527 HARLEM BUFFALO, NY 14225",100.00,19-JUL-12,FRIENDS OF MIKE LOCURTO,2013 January Periodic,C,City Council,N/A
"ELLICOTT GROUP 295 MAIN STREET BUFFALO, NY 7259",100.00,03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,B,City Council,N/A
"ELMWOOD PET SUPPLIES 706 ELMWOOD BUFFALO, NY 14222",100.00,12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,B,City Council,N/A
"ELSWORTH OF BUFFALO CORP. 511 RHODE ISLAND BUFFALO, NY 14213",250.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,B,City Council,N/A
"EMPIRE STATE REGIONAL COUNCIL CARPENTERS 270 MOTOR PARKWAY HAPPAUGE, NY 11788",300.00,24-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,C,City Council,N/A
"EMPIRE STATE REGIONAL COUNCIL OF CARPENTERS 270 OTOR PARKWAY HAPPAUGUE, NY 11788",149.00,15-JAN-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,C,City Council,N/A
"EMPIRE STRQTE REGIONAL COUNCIL OF CARPENTERS 270 MOTOR PARKWAY HAUPPAUGE, NY 11788",250.00,07-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"EVEVATOR CONSTRUCTORS LOCAL 14 PAC 3527 HARLEM ROAD SUITE 9 BUFFALO, NY 14225",100.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"FORGE CONSULTANTS 737 MAIN STREET BUFFALO, NY 14203","1,000.00",12-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"FRIENDS OF JOEL GIAMBRA 3598 HEATHERWOOD HAMBURG, NY 14075",200.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,C,City Council,N/A
"FRIENDS OF JOEL GIAMBRA 20 CARRIAGE ORCHARD PARK, NY 14127",500.00,04-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"FRIENDS OF JOHN LAFALCE  ,",200.00,22-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"FRIENDS OF JUDGE OGDEN PO BOX 715 BUFFALO, NY 14202",99.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,C,City Council,N/A
